NAICS Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021,Dec. 2021,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023
4482,Shoe stores,3001,3069,2933,3090,3137,3098,3247,3012,3064,3191,3204,3165,3187,3216,3236,3178,3065,3100,3159,3145,3082,3074,3068,3124,3159,3172,1701,485,1652,3071,2736,2319,3031,"2,939","2,695",2928,3219,2644,"3,524","3,477","3,517","3,567","3,242","3,116","3,167","3,160","3,184","3,254","3,059","3,125","3,232","3,238","3,315","3,306","3,149","3,292","3,343","3,329","3,326","3,195","3,406","3,248","3,215","3,186","3,228","3,255","3,272","3,287","3,210","3,227","3,220","3,278"
44831,Jewelry stores,2640,2690,2696,2737,2735,2753,2719,2683,2557,2677,2660,2617,2543,2651,2625,2689,2681,2616,2787,2797,2829,2718,2706,2802,2880,2735,1730,540,1344,2529,2868,3014,3085,"2,990","3,021",3196,3152,3218,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),(S)
451,"Sporting goods, hobby, musical instrument, and book stores",6788,7106,7162,7063,7052,6836,6554,6491,6401,6392,6488,6342,6453,6515,6550,6673,6701,6749,6611,6674,6657,6717,6538,6699,6735,6716,5538,3712,6483,8142,7886,7339,7783,"7,687","7,697",7636,8460,7639,"9,227","8,960","8,693","8,572","8,376","8,403","8,380","8,381","8,752","8,454","8,143","8,462","8,490","8,546","8,534","8,603","8,567","8,677","8,663","8,745","8,551","8,706","8,764","8,635","8,693","8,586","8,599","8,542","8,684","8,501","8,540","8,544","8,561","8,489"
452,General merchandise stores,58455,58745,58076,58026,59500,58555,58922,59001,58933,59325,59995,59549,59462,58801,59671,59543,59306,59455,60242,59896,59400,59692,60350,60269,60511,60843,62671,55886,60881,61594,61404,60222,62044,"61,251","60,726",61068,65118,61935,"66,688","67,331","66,599","66,148","66,304","66,797","66,898","67,724","67,603","67,924","68,245","68,961","69,631","70,621","71,095","72,032","71,294","71,751","72,286","72,162","72,308","71,543","73,340","73,567","71,156","72,208","72,524","72,448","73,162","73,393","73,203","73,184","73,006","73,548"
4521,Department stores,12105,12111,11444,12198,12326,11806,11866,11762,11638,11712,11832,11457,11408,11447,11379,11359,11361,11194,11496,11323,10960,10910,11117,10921,10861,10868,8830,6191,8765,9565,9580,9395,10307,"9,852","9,501",9655,10383,9882,"11,264","11,097","11,343","11,497","11,291","11,246","11,305","11,399","11,224","11,206","11,227","11,412","11,461","11,541","11,569","11,474","11,355","11,440","11,588","11,375","11,179","11,235","11,785","11,554","11,206","11,118","11,137","10,898","11,030","11,049","10,938","10,835","10,646","10,974"
4529,Other general merchandise stores,46350,46634,46632,45828,47174,46749,47056,47239,47295,47613,48163,48092,48054,47354,48292,48184,47945,48261,48746,48573,48440,48782,49233,49348,49650,49975,53841,49695,52116,52029,51824,50827,51737,"51,399","51,225",51413,54735,52053,"55,424","56,234","55,256","54,651","55,013","55,551","55,593","56,325","56,379","56,718","57,018","57,549","58,170","59,080","59,526","60,558","59,939","60,311","60,698","60,787","61,129","60,308","61,555","62,013","59,950","61,090","61,387","61,550","62,132","62,344","62,265","62,349","62,360","62,574"
45291,Warehouse clubs and superstores,39915,40186,40259,39475,40684,40337,40581,40689,40669,40953,41229,41336,41327,40687,41578,41428,41305,41562,41945,41794,41739,42053,42461,42538,42770,43036,45799,42294,44198,44119,44063,43106,43975,"43,723","43,683",44013,46920,44646,"47,195","48,029","47,260","46,918","47,309","47,787","47,853","48,438","48,359","48,678","49,268","49,684","50,151","50,971","51,200","52,295","51,693","51,992","52,316","52,411","52,641","51,811","52,952","53,288","51,373","52,439","52,684","52,901","53,241","53,498","53,381","53,454","53,410","53,529"
45299,All other gen. merchandise stores,6435,6448,6373,6353,6490,6412,6475,6550,6626,6660,6934,6756,6727,6667,6714,6756,6640,6699,6801,6779,6701,6729,6772,6810,6880,6939,8042,7401,7918,7910,7761,7721,7762,"7,676","7,542",7400,7815,7407,"8,229","8,205","7,996","7,733","7,704","7,764","7,740","7,887","8,020","8,040","7,750","7,865","8,019","8,109","8,326","8,263","8,246","8,319","8,382","8,376","8,488","8,497","8,603","8,725","8,577","8,651","8,703","8,649","8,891","8,846","8,884","8,895","8,950","9,045"
453,Miscellaneous stores retailers,10903,10824,10646,10718,10838,10786,10421,10601,10631,10862,10847,10687,10461,10555,10653,10845,11010,11049,10918,11143,11103,11273,11464,11322,11597,11547,9774,7131,8662,10595,11111,11321,11381,"11,394","11,479",12117,11970,11757,"13,137","13,212","12,355","13,253","13,450","13,576","13,885","14,119","14,253","14,255","14,288","14,695","14,983","15,096","14,898","15,309","15,157","15,382","15,124","15,051","14,685","14,809","15,649","15,304","15,212","15,499","15,339","15,536","15,326","14,837","15,566","15,703","15,719","15,662"
454,Nonstore retailers,54249,54452,55276,55957,55690,55917,56863,57015,57615,57893,60277,53791,58887,59209,59382,59814,61629,63218,63559,64000,64594,64738,64802,64701,65587,66416,70636,78848,85171,84508,86034,88289,88097,"88,932","89,714",90690,90810,87711,"93,736","93,803","91,719","95,212","90,102","94,607","94,978","98,070","99,426","98,442","104,142","102,329","103,341","104,504","105,375","105,679","106,707","108,179","108,333","110,035","108,147","109,034","110,666","111,852","110,522","112,206","113,526","114,399","116,336","116,153","117,631","117,276","117,725","119,222"
4541,Electronic shopping and mail order houses,46275,47043,47778,48019,48011,48497,49269,49488,50103,50179,52485,46077,51075,51567,51798,52317,54074,55449,55746,56047,56721,56960,56867,56665,58011,58654,63387,72934,79005,77696,78229,80474,80047,"80,528","82,016",82940,82765,79304,"85,202","84,994","83,200","86,634","81,502","86,197","86,449","89,014","90,442","89,965","94,725","92,819","93,398","94,446","94,811","95,236","96,363","97,582","98,117","99,087","97,742","98,517","100,516","101,487","100,616","102,245","103,683","104,169","106,330","105,751","107,303","107,358","108,062","109,653"
45431,Fuel dealers,3580,2770,2775,3196,2960,2913,3050,3028,3013,3154,3023,2881,2892,2926,3056,2925,2863,2879,2918,2924,2842,2804,3032,2840,2620,2564,2356,2292,2336,2278,2398,2437,2562,"2,333","2,199",2478,2650,3100,"2,835","2,776","2,829","3,019","3,003","2,911","3,034","3,244","3,282","2,962","3,601","3,822","3,858","4,036","4,552","4,416","4,076","4,092","3,894","4,367","3,789","3,799","3,313","3,341","3,453","3,380","3,211","3,306","3,228","3,502","3,581","3,437","3,363","3,172"
722,Food services and drinking places,59402,59668,60232,59471,60804,61459,62330,62637,61286,61778,61589,61398,61262,61740,62318,62730,63465,64306,65105,65286,66127,66390,66657,67736,68657,68683,48245,31195,41045,52838,55383,57913,59559,"59,283","57,015",53775,58569,57171,"65,224","67,981","70,096","73,198","74,928","74,692","74,907","74,875","75,870","74,702","72,335","75,619","77,812","80,528","81,182","82,110","81,558","83,652","84,060","85,771","85,118","84,913","90,076","87,655","87,978","87,827","89,200","89,782","90,623","91,154","92,671","92,967","94,237","93,785"
